OBJECTID,PLAN,DATE_ADOPT,LAND_USE,USE_CLASS,DSGN_GUIDE,URL,LAST_EDIT_DATE,ASP,C2P2_STATUS
654,Big Darby Accord Watershed Master Plan,2006-07-31T00:00:00.000Z,Urban High Density 8+ du/ac,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-09-28T10:05:16.000Z,,
4013,South Linden Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Mixed Use 3 (>45 du/ac),Mixed Use,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:36:30.000Z,"1,2,3",Complete Adoption
4036,South East Land Use Plan (C2P2),2018-07-16T00:00:00.000Z,Low Density Residential (4-6 du/ac),Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-10-04T16:35:35.000Z,,Complete Adoption
731,Riverfront Vision Plan,1998-03-02T00:00:00.000Z,No adopted land use plan in place,Please refer to plan document,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
732,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Commercial,Commercial,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
733,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Office/ Light Industrial,Employment Center,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
734,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Institutional,Institutional,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
735,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Mixed Use,Mixed Use,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
737,Port Columbus Joint Economic Development Strategy,2008-05-05T00:00:00.000Z,Industrial (Light),Industrial,No,http://www.columbus.gov/planning/documentlibrary/,2012-03-22T00:00:00.000Z,,
419,Southwest Area Plan,2009-03-02T00:00:00.000Z,Semi-Rural Residential,Residential,Yes,http://www.columbus.gov/planning/documentlibrary/,2018-08-24T10:46:57.000Z,,Early Adoption
